"id","payment_id","region","region_code","circle","circle_code","division_name","division_code","consumer_id","consumer_name","payment_mode","payment_date","punching_date","payment_amount","status","dept_name","dept_code","govrmt_private","arrear_paid","current_bill_paid","status_on_punching","payment_cancelled_date"
1523,399053,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H0386022000,THE SR.DIVN.ELECTRICALENGINEER,E Payment,2024-06-06,2024-06-11,146923,Success, RAILWAYS,G05100,GOVT,0,146923,CONNECTED,
1586,399069,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2132024736,M/S BALAJI ASSOCIATES,Virtual Account,2024-06-11,2024-06-11,407589,Success, NA,"",PVT,0,407589,CONNECTED,
2179,399673,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2290956707,SANJEEVANI STONE CRUSHER,Virtual Account,2024-06-13,2024-06-13,370000,Success,,,PVT,0,370000,CONNECTED,
1420,398968,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291037933,BHARTI AGRO CLUSTER,Virtual Account,2024-06-11,2024-06-11,683174,Success,,,PVT,0,683174,CONNECTED,
2049,399702,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291038039,ARUN KUMAR TIWARI,Virtual Account,2024-06-14,2024-06-14,247667,Success,,,PVT,0,247667,CONNECTED,
135,397982,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291038337,GARRISON ENGINEER AF AMLA MES,E Payment,2024-06-05,2024-06-06,251868,Success, DEFENCE,G05600,GOVT,0,251868,CONNECTED,
531,398054,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291038463,JEET ASIA PVT. LTD.,Virtual Account,2024-06-06,2024-06-06,1524451,Success,,,PVT,0,1524451,CONNECTED,
1130,398590,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291038612,FUROZUN FRUITS AND VEGETABLES,Virtual Account,2024-06-10,2024-06-10,913338,Success,,,PVT,0,913338,CONNECTED,
825,398361,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291038671,BHARTI AGRO CLUSTER DAIRY UNIT,Virtual Account,2024-06-10,2024-06-10,416301,Success,,,PVT,0,416301,CONNECTED,
85,397606,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291038776,BADRI PRASAD MUDGIL,Virtual Account,2024-06-03,2024-06-03,300000,Success,,,PVT,276461.000,23539.000,CONNECTED,
2031,399580,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291038776,BADRI PRASAD MUDGIL,Virtual Account,2024-06-13,2024-06-13,496008,Success,,,PVT,197529.000,298479.000,CONNECTED,
1103,398567,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H2291038838,BETUL BIOFUEL PRIVATE LIMITED,Virtual Account,2024-06-10,2024-06-10,742389,Success,,,PVT,0,742389,CONNECTED,
2549,400361,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H3093743756,VISHAL AGRAWAL STONE CRUSHER,Virtual Account,2024-06-29,2024-06-29,42596,Success, NA,"",PVT,42596,0,CONNECTED,
2668,400242,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H3093743756,VISHAL AGRAWAL STONE CRUSHER,Virtual Account,2024-06-28,2024-06-28,85000,Success, NA,"",PVT,79200.000,5800.000,CONNECTED,
2725,400289,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H3747022000,PRACHARYA EKLAVYA ADARSH,E Payment,2024-06-26,2024-06-28,278651,Success, NA,"",PVT,204428.000,74223.000,CONNECTED,
408,397976,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H4167022000,MS.WESTERN COAL FIELD,E Payment,2024-06-03,2024-06-06,8761231,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,8761231,CONNECTED,
137,397983,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H4735017601,THE GARRISSON ENGINEER AIR FORCE,E Payment,2024-06-05,2024-06-06,1555376,Success, DEFENCE,G05600,GOVT,0,1555376,CONNECTED,
1598,399059,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H4977022000,THE SR.DIVN.ELECTRICAL ENGGR CENTRAL RAILWAY,E Payment,2024-06-06,2024-06-11,900557,Success, RAILWAYS,G05100,GOVT,0,900557,CONNECTED,
189,397984,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H5167022000,THE ASSIS. GARRI ENGI. MES,E Payment,2024-06-05,2024-06-06,3211684,Success, DEFENCE,G05600,GOVT,0,3211684,CONNECTED,
1912,399265,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H5609933765,M/S HANUMANT SUGAR PVT.LTD. AT. VILL. JEEN DANORA,Virtual Account,2024-06-11,2024-06-11,291776,Success, NA,"",PVT,0,291776,CONNECTED,
427,397977,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H5977022000,MS WESTERN COAL FIELDS LTD.,E Payment,2024-06-03,2024-06-06,10505254,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,10505254,CONNECTED,
487,397978,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H7018022000,MS WESTERN COAL FIELDS LTD,E Payment,2024-06-03,2024-06-06,5168839,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,3.00,5168836.00,CONNECTED,
2635,400129,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H7018022000,MS WESTERN COAL FIELDS LTD,E Payment,2024-06-26,2024-06-27,1037996,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,1037996,CONNECTED,
1785,399184,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H7548378091,M/S EXECUTIVE ENG. (CIVIL) Cand M S.T.P.S SARNI,E Payment,2024-06-11,2024-06-11,231537,Success,GENERATION COMPANY,G04902,GOVT,0,231537,CONNECTED,
409,397979,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H7707022000,MS WESTERN COAL FIELDS,E Payment,2024-06-03,2024-06-06,12824659,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,12824659,CONNECTED,
114,397980,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H7910232000,MS.WESTERN COAL FIELD,E Payment,2024-06-03,2024-06-06,1191152,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,1191152,CONNECTED,
440,397981,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H8707022000,MS WESTERN COAL FIELDS,E Payment,2024-06-03,2024-06-06,9249869,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,9249869,CONNECTED,
686,398171,Bhopal(BR),"2310100",Betul,"2299500",Betul (N),"2294200",H9707022000,M/S MAHENDRA KUMAR MALVIYA STONE CRUSHER,Virtual Account,2024-06-07,2024-06-07,629296,Success, NA,"",PVT,0,629296,CONNECTED,
2646,400083,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H0797022000,MSBHAWSAR STONE CRUSHER,Virtual Account,2024-06-26,2024-06-26,296165,Success, NA,"",PVT,268239.000,27926.000,CONNECTED,
1017,398798,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H0901872387,SHARDA FIBRE INDUSTRIES,Virtual Account,2024-06-11,2024-06-11,222506,Success, NA,"",PVT,0,222506,CONNECTED,
1551,399070,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H1137022000,MS M.P.VEENIER PVTLTD.,E Payment,2024-06-10,2024-06-11,173242,Success, NA,"",PVT,0,173242,CONNECTED,
1204,398664,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H1339379778,MS SHIVAM STONE CRUSHER,Virtual Account,2024-06-10,2024-06-10,117633,Success, NA,"",PVT,0,117633,CONNECTED,
1784,399181,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H1386022000,THE MANAGER BHOPAL DUGDHA SANGH,RTGS,2024-06-11,2024-06-11,535255,Success, MINING RESOURCES,G02800,GOVT,0,535255,CONNECTED,
2783,400160,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H1617490219,MS. THE EXECUTIVE ENGINEER P.H.E.SUPPLY AT INTAKWELL,NEFT,2024-06-24,2024-06-27,258634,Success,NAGAR PALIKA PARISHAD WATER SUPPLY,G00121,GOVT,256839.000,1795.000,CONNECTED,
1139,398599,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H2087022000,M/S.SHREEJEE SUGAR and POWER PVT,Virtual Account,2024-06-10,2024-06-10,254738,Success, NA,"",PVT,0,254738,CONNECTED,
2583,400228,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H2291000106,SHRI RAM STONE CRUSHER,Virtual Account,2024-06-28,2024-06-28,200000,Success,,,PVT,184104.000,15896.000,CONNECTED,
1376,398924,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H2291038046,TIRUPATI FLOUR MILL,Virtual Account,2024-06-11,2024-06-11,710462,Success,,,PVT,0,710462,CONNECTED,
2593,400185,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H2291038084,M/S ZIVISHA HERBAL AND ORGANIC PVT LTD,Virtual Account,2024-06-27,2024-06-27,184245,Success,,,PVT,172417.000,11828.000,CONNECTED,
2036,399585,Bhopal(BR),"2310100",Betul,"2299500",Betul(S),"2294300",H2291038530,MAA KALI STONE CRUSHER,SBI Collect,2024-06-11,2024-06-13,452049,Success,,,PVT,0,452049,CONNECTED,
